datetime,date,hour,frequency_demand,frequency_price
2025-07-01 00:00:00,2025-07-01,0,479.340,4.551
2025-07-01 01:00:00,2025-07-01,1,490.566,0.000
2025-07-01 02:00:00,2025-07-01,2,468.068,2.066
2025-07-01 03:00:00,2025-07-01,3,438.246,7.360
2025-07-01 04:00:00,2025-07-01,4,427.784,6.895
2025-07-01 05:00:00,2025-07-01,5,488.168,6.733
2025-07-01 06:00:00,2025-07-01,6,514.859,3.578
2025-07-01 07:00:00,2025-07-01,7,591.795,7.758
2025-07-01 08:00:00,2025-07-01,8,605.120,6.449
2025-07-01 09:00:00,2025-07-01,9,637.631,6.461
2025-07-01 10:00:00,2025-07-01,10,648.220,4.224
2025-07-01 11:00:00,2025-07-01,11,587.557,5.230
2025-07-01 12:00:00,2025-07-01,12,552.550,5.223
2025-07-01 13:00:00,2025-07-01,13,591.207,4.788
2025-07-01 14:00:00,2025-07-01,14,574.098,4.539
2025-07-01 15:00:00,2025-07-01,15,596.758,3.025
2025-07-01 16:00:00,2025-07-01,16,627.752,6.147
2025-07-01 17:00:00,2025-07-01,17,682.451,8.660
2025-07-01 18:00:00,2025-07-01,18,748.428,11.909
2025-07-01 19:00:00,2025-07-01,19,733.495,14.766
2025-07-01 20:00:00,2025-07-01,20,713.051,12.564
2025-07-01 21:00:00,2025-07-01,21,669.830,8.120
2025-07-01 22:00:00,2025-07-01,22,612.043,8.605
2025-07-01 23:00:00,2025-07-01,23,572.037,7.468
2025-07-02 00:00:00,2025-07-02,0,459.829,8.678
2025-07-02 01:00:00,2025-07-02,1,410.361,8.907
2025-07-02 02:00:00,2025-07-02,2,359.610,7.380
2025-07-02 03:00:00,2025-07-02,3,375.265,7.084
2025-07-02 04:00:00,2025-07-02,4,394.784,4.083
2025-07-02 05:00:00,2025-07-02,5,467.759,6.143
2025-07-02 06:00:00,2025-07-02,6,478.487,7.226
2025-07-02 07:00:00,2025-07-02,7,573.229,5.741
2025-07-02 08:00:00,2025-07-02,8,588.895,7.776
2025-07-02 09:00:00,2025-07-02,9,603.617,7.269
2025-07-02 10:00:00,2025-07-02,10,586.413,5.293
2025-07-02 11:00:00,2025-07-02,11,538.664,6.498
